File,Name,Level,Percent,Damage,Confidence
Archive,Community,31,76.0,1169428592,
Archive,Community,32,42.0,1277818431,
Archive,Community,32,8.0,1220978042,
Archive,Community,32,1.0,1207870410,
Archive,Community,33,8.0,1390768940,
Archive,Community,33,8.0,1390162486,
Archive,Community,34,24.0,1608037167,
Archive,Community,34,10.0,1580245074,
Archive,Community,34,6.0,1572164665,
Archive,Community,36,11.0,1999225319,
Archive,Community,36,7.0,1989453612,
Archive,Community,36,1.0,1975530429,
Archive,Community,38,51.0,2591347146,
Archive,Community,38,36.0,2550852025,
Archive,Community,38,24.0,2517236147,
Archive,Community,39,51.0,2869381096,
Archive,Community,39,24.0,2792828121,
Archive,Community,39,2.0,2729694860,
Archive,Community,40,23.0,3084268518,
Archive,Community,40,19.0,3072237542,
Archive,Community,40,16.0,3062038720,
Archive,Community,40,14.0,3056518900,
Archive,Community,40,13.0,3054087273,
Archive,Community,40,13.0,3052125362,
Archive,Community,40,11.0,3047049307,
Archive,Community,40,8.0,3038490601,
Archive,Community,40,4.0,3025439743,
Archive,Community,40,0.0,3010842193,
Archive,Community,45,45.0,5003198972,
pasted_1788750585_0.png,Unknown,49,17.0,6910710348,
pasted_1788750585_0.png,Unknown,49,17.0,6910710348,
pasted_1788750585_1.png,Unknown,49,27.0,6968005861,
pasted_1788750585_12.png,Unknown,54,66.0,10746042837,
pasted_1788750585_13.png,Unknown,54,45.0,10573100534,
pasted_1788750585_14.png,Unknown,54,19.0,10359674661,
pasted_1788750585_15.png,Unknown,47,65.0,6078886524,
pasted_1788750585_16.png,Unknown,48,27.0,6406734869,
pasted_1788750585_17.png,Unknown,48,15.0,6343805523,
pasted_1788750585_18.png,Unknown,48,5.0,6288498422,
pasted_1788750585_19.png,Unknown,47,57.0,6040128124,
pasted_1788750585_2.png,Unknown,49,58.0,7151017277,
pasted_1788750585_3.png,Unknown,48,79.0,6693657402,
pasted_1788750585_4.png,Unknown,48,31.0,6431148202,
pasted_1788750585_5.png,Unknown,48,23.0,6385632402,
ManualEntry,Admin,63,68.0,21055194115,
pasted_1788750585_6.png,Unknown,47,0.0,5748068630,
pasted_1788750585_7.png,Unknown,47,55.0,6027952006,
pasted_1788750585_8.png,Unknown,47,40.0,5953603835,
pasted_1788796497_0.png,Unknown,59,32.0,15318012829,
pasted_1788796497_1.png,Unknown,59,30.0,15299108251,
pasted_1788796497_2.png,Unknown,59,33.0,15327761214,
pasted_1788796774_0.png,Unknown,59,32.0,15318012829,
pasted_1788796774_1.png,Unknown,59,30.0,15299108251,
pasted_1788796774_2.png,Unknown,59,33.0,15327761214,
pasted_1788799413_2.png,Unknown,51,2.0,8044266039,
pasted_1788799413_3.png,Unknown,50,44.0,7675380688,
pasted_1788799413_5.png,Unknown,50,78.0,7887973347,
pasted_1788799413_6.png,Unknown,50,48.0,7703667480,
pasted_1788799967_2.png,Unknown,51,2.0,8044266039,
pasted_1788799967_3.png,Unknown,50,44.0,7675380688,
pasted_1788799967_5.png,Unknown,50,78.0,7887973347,
pasted_1788799967_6.png,Unknown,50,48.0,7703667480,
pasted_1788802139_1.png,Unknown,21,1.0,173466445,
ManualEntry,Admin,21,60.0,194675240,
ManualEntry,Admin,21,56.0,193211476,
ManualEntry,Admin,22,15.0,217152565,
ManualEntry,Admin,22,34.0,227119270,
ManualEntry,Admin,21,35.0,185782488,
pasted_1788838780_0.png,Anonymous,31,2.0,1052887122,
pasted_1788838780_1.png,Anonymous,31,2.0,1052887122,
pasted_1788838780_2.png,Anonymous,31,0.0,1049555537,
pasted_1788838894_0.png,Anonymous,47,28.0,5889369081,
pasted_1788838894_1.png,Anonymous,47,26.0,5877585858,
pasted_1788838894_2.png,Anonymous,47,6.0,5777473938,
pasted_1788838986_0.png,Anonymous,43,84.0,4344192684,
pasted_1788838986_1.png,Anonymous,44,2.0,4414204787,
pasted_1788838986_2.png,Anonymous,44,8.0,4438187159,
pasted_1788839131_0.png,Anonymous,43,5.0,4040117019,
pasted_1788839200_0.png,Anonymous,40,19.0,3070065426,
pasted_1788839314_0.png,Anonymous,44,0.0,4406378496,
pasted_1788839314_1.png,Anonymous,31,14.0,1071589812,
pasted_1788839414_0.png,Anonymous,43,60.0,4250301738,
pasted_1788839414_1.png,Anonymous,43,45.0,4191763476,
pasted_1788839414_2.png,Anonymous,43,22.0,4102922915,
pasted_1788841860_0.png,Anonymous,46,29.0,5405181732,
pasted_1788841860_1.png,Anonymous,46,25.0,5388896960,
pasted_1788841860_2.png,Anonymous,46,13.0,5331567494,
